iter	Passed	Remaining
216	727	2623
217	730	2618
218	733	2615
219	736	2612
220	738	2604
221	741	2599
222	743	2592
223	747	2590
224	749	2579
225	754	2584
226	758	2581
227	761	2579
228	763	2570
229	769	2577
230	774	2577
231	776	2570
232	780	2567
233	783	2563
234	784	2553
235	788	2551
236	791	2547
237	794	2544
238	797	2540
239	798	2529
240	802	2526
241	805	2522
242	808	2517
243	809	2507
244	812	2503
245	813	2494
246	815	2486
247	818	2482
248	822	2479
249	824	2474
250	828	2472
251	831	2468
252	835	2465
253	838	2462
254	841	2458
255	844	2454
256	847	2451
257	850	2446
258	854	2444
259	857	2439
260	858	2432
261	862	2428
262	865	2424
263	868	2422
264	872	2420
265	875	2416
266	878	2412
267	881	2408
268	885	2406
269	888	2402
270	890	2396
271	894	2394
272	897	2390
273	901	2389
274	905	2387
275	908	2383
276	912	2381
277	915	2378
278	919	2375
279	923	2373
280	926	2370
281	928	2364
282	930	2357
283	935	2357
284	939	2355
285	941	2351
286	946	2350
287	949	2347
288	952	2344
289	956	2340
290	959	2337
291	962	2334
292	966	2331
293	969	2328
294	972	2324
295	975	2320
296	978	2315
297	981	2313
298	984	2307
299	987	2303
300	990	2300
301	993	2296
302	995	2289
303	998	2286
304	1000	2279
305	1003	2275
306	1006	2272
307	1008	2266
308	1012	2263
309	1014	2259
310	1018	2256
311	1021	2252
312	1024	2247
313	1027	2244
314	1031	2242
315	1032	2234
316	1035	2231
317	1039	2229
318	1043	2228
319	1047	2225
320	1050	2221
321	1053	2218
322	1056	2215
323	1060	2212
324	1064	2210
325	1067	2207
326	1070	2203
327	1074	2201
328	1076	2195
329	1080	2193
330	1084	2191
331	1087	2187
332	1090	2183
333	1093	2179
334	1096	2177
335	1100	2175
336	1103	2171
337	1106	2167
338	1109	2163
339	1113	2161
340	1116	2157
341	1119	2154
342	1122	2150
343	1126	2148
344	1129	2145
345	1133	2141
346	1136	2137
347	1139	2134
348	1142	2130
349	1145	2127
350	1148	2123
351	1153	2123
352	1155	2118
353	1158	2114
354	1161	2110
355	1164	2106
356	1168	2104
357	1172	2102
358	1175	2098
359	1178	2095
360	1181	2091
361	1185	2089
362	1188	2086
363	1190	2079
364	1193	2076
365	1197	2073
366	1200	2070
367	1204	2067
368	1206	2062
369	1209	2059
370	1213	2057
371	1216	2053
372	1219	2049
373	1222	2046
374	1226	2044
375	1230	2041
376	1233	2038
377	1237	2035
378	1240	2032
379	1243	2029
380	1246	2025
381	1249	2021
382	1253	2018
383	1255	2014
384	1259	2012
385	1263	2009
386	1266	2006
387	1270	2003
388	1273	1999
389	1277	1997
390	1280	1994
391	1284	1992
392	1287	1988
393	1290	1985
394	1294	1983
395	1298	1980
396	1301	1976
397	1305	1974
398	1308	1970
399	1311	1967
400	1315	1964
401	1318	1961
402	1321	1958
403	1324	1954
404	1326	1948
405	1329	1945
406	1332	1941
407	1336	1939
408	1339	1935
409	1342	1931
410	1345	1928
411	1350	1926
412	1353	1923
413	1357	1920
414	1360	1917
415	1363	1914
416	1367	1911
417	1370	1907
418	1373	1904
419	1376	1900
420	1380	1898
421	1383	1894
422	1385	1889
423	1388	1886
424	1391	1882
425	1395	1880
426	1398	1876
427	1401	1872
428	1404	1869
429	1407	1865
430	1411	1863
431	1414	1859
432	1417	1856
433	1420	1853
434	1423	1849
435	1428	1847
